business_id,state,latitude,longitude,stars,review_count,cluster
MTSW4McQd7CbVtyjqoe9mw,PA,39.9555052,-75.1555641,4.0,80,0
CF33F8-E6oudUQ46HnavjQ,TN,36.269593,-87.058943,2.0,6,4
bBDDEgkFA1Otx9Lfe7BZUQ,TN,36.2081024,-86.7681696,1.5,10,1
eEOYSgkmpB90uNA7lDOMRA,FL,27.9552692,-82.4563199,4.0,10,3
il_Ro8jwPlHresjw9EGmBg,IN,39.6371332838,-86.127217412,2.5,28,2
MUTTqe8uqyMdBl186RmNeA,PA,39.953949,-75.1432262,4.0,245,0
ROeacJQwBeh05Rqg7F6TCg,PA,39.943223,-75.162568,4.5,205,0
kfNv-JZpuN6TVNSO6hHdkw,IN,39.9043203184,-86.0530799,4.0,20,1
9OG5YkX1g2GReZM0AskizA,NV,39.4761165,-119.7893392,2.5,339,0
sqSqqLy0sN8n2IZrAbzidQ,TN,36.4647467622,-86.6591868908,3.5,8,2
kV_Q1oqis8Qli8dUoGpTyQ,PA,40.0067071,-75.289671,3.5,109,2
aPNXGTDkf-4bjhyMBQxqpQ,PA,39.9625821,-75.1356571,3.5,65,0
ljxNT9p0y7YMPx0fcNBGig,IL,38.896563,-90.1862032987,3.0,94,1
ABxoFuzZy5mqQ8C5FJJajQ,PA,40.0283575,-75.2380841,5.0,12,0
seKihQKpGGnCeLuELRQPSQ,IN,39.9062952,-86.0474634,3.5,257,1
8rb-3VYXE37IZix4yOdskw,NJ,39.6968014,-74.9998214,2.5,29,1
aCDY7vXYMs54EbYuQScsnQ,PA,39.9036968861,-75.2949812448,4.5,25,2
pJfh3Ct8iL58NZa8ta-a5w,FL,28.1962523878,-82.3806153496,4.5,95,1
ppFCk9aQkM338Rgwpl2F5A,PA,39.954573,-75.1948936,3.0,56,0
IDtLPgUrqorrpqSLdfMhZQ,CA,34.4144445,-119.6906718,4.0,389,2
YNjyv0gfOr2g8lbmUpTnKg,LA,29.9506467229,-90.0744274301,4.5,350,0
LhpPSrulqVeTyJeK2xydvQ,NJ,39.9466899,-75.123327,4.5,6,3
oaboaRBUgGjbo2kfUIKDLQ,TN,36.1626492,-86.7759733,4.5,593,1
RK6-cJ9hj53RzOlCBmpT-g,FL,27.890814,-82.5023464,5.0,5,3
knQ4vIgx-r85kjlWVVjcpQ,NV,39.476518,-119.7840369,4.5,5,0
EuRGgOwJ0g1vTj2R04j37Q,IL,38.6012982,-89.9896835,2.5,14,4
TLZ3-eDPLhUzfsWO4ad6Ug,LA,29.9554151,-90.0700619,4.0,382,0
Dy91wdWkwtI_qgjAIZ0Niw,DE,39.7320886,-75.6256733,4.0,23,2
vje0KIiE7vtpx7JzmBx5LQ,FL,27.7694046,-82.767317,4.0,129,0
VrGxoSNZfSiT-G4OqRRGIw,MO,38.5832229,-90.4071872,4.0,73,2
VZzivJEbmHItOxNXJB3SpA,TN,36.0263631408,-86.7894728157,2.5,14,0
anLQj9AM8vjbcLSIE0iUgg,AZ,32.3385723,-111.0107602,4.0,22,4
Cdytv_YhJO0W0Ab8t2xLtg,NJ,39.8444681,-75.1248703,3.5,29,1
