business_id,name,state,latitude,longitude,stars,review_count,cluster
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,PA,39.9555052,-75.1555641,4.0,80,0
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,TN,36.269593,-87.058943,2.0,6,4
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,TN,36.2081024,-86.7681696,1.5,10,1
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,FL,27.9552692,-82.4563199,4.0,10,3
il_Ro8jwPlHresjw9EGmBg,Denny's,IN,39.6371332838,-86.127217412,2.5,28,2
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,PA,39.953949,-75.1432262,4.0,245,0
ROeacJQwBeh05Rqg7F6TCg,BAP,PA,39.943223,-75.162568,4.5,205,0
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,IN,39.9043203184,-86.0530799,4.0,20,1
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,NV,39.4761165,-119.7893392,2.5,339,0
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,TN,36.4647467622,-86.6591868908,3.5,8,2
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,PA,40.0067071,-75.289671,3.5,109,2
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,PA,39.9625821,-75.1356571,3.5,65,0
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,IL,38.896563,-90.1862032987,3.0,94,1
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,PA,40.0283575,-75.2380841,5.0,12,0
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,IN,39.9062952,-86.0474634,3.5,257,1
8rb-3VYXE37IZix4yOdskw,Sharky's Sports Bar & Grill,NJ,39.6968014,-74.9998214,2.5,29,1
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,PA,39.9036968861,-75.2949812448,4.5,25,2
pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,FL,28.1962523878,-82.3806153496,4.5,95,1
ppFCk9aQkM338Rgwpl2F5A,Wawa,PA,39.954573,-75.1948936,3.0,56,0
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,CA,34.4144445,-119.6906718,4.0,389,2
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,LA,29.9506467229,-90.0744274301,4.5,350,0
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,NJ,39.9466899,-75.123327,4.5,6,3
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,TN,36.1626492,-86.7759733,4.5,593,1
RK6-cJ9hj53RzOlCBmpT-g,Impasto,FL,27.890814,-82.5023464,5.0,5,3
knQ4vIgx-r85kjlWVVjcpQ,Silver and Blue Outfitters,NV,39.476518,-119.7840369,4.5,5,0
EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,IL,38.6012982,-89.9896835,2.5,14,4
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,LA,29.9554151,-90.0700619,4.0,382,0
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,DE,39.7320886,-75.6256733,4.0,23,2
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,FL,27.7694046,-82.767317,4.0,129,0
VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,MO,38.5832229,-90.4071872,4.0,73,2
VZzivJEbmHItOxNXJB3SpA,Subway,TN,36.0263631408,-86.7894728157,2.5,14,0
anLQj9AM8vjbcLSIE0iUgg,Papa Murphy's,AZ,32.3385723,-111.0107602,4.0,22,4
Cdytv_YhJO0W0Ab8t2xLtg,Nipper's Pub,NJ,39.8444681,-75.1248703,3.5,29,1
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,PA,39.963077709,-75.1680274529,3.0,137,0
9C2rpb56aQvW0ViZHK9sPw,Home Plate Sports Pub,AZ,32.206315,-110.887843,3.5,56,1
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,CA,34.4087147,-119.6850187,4.0,2404,2
aNtKyc2rr-uK5cqzY9TVQQ,Chipotle Mexican Grill,FL,27.894167,-82.779866,3.0,19,5
X_E7U2lVNEwbH_gpOBmAHQ,Cerveza Jack's,TN,36.162799,-86.776016,4.0,182,1
G4lRmwDHdvhZAhmtlsYYBw,Wendy's,TN,36.112075744,-86.7674462724,1.5,37,1
BxhkoR6cscJwwex8gx31OA,Bar-B-Cutie,TN,36.296536,-86.700179,3.5,40,2
Ms5xG8i4p80KSMcF3tt4ug,Sal DeForte's Ristorante,NJ,40.2668877,-74.8056572,4.0,52,0
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,TN,36.2115923083,-86.6943191727,3.0,1639,5
QjV4v7q_pt7tt3K1US7IHg,PDQ Temple Terrace,FL,28.0548882706,-82.3995484,3.0,5,3
59jkCUm4yHciKL1KW_1HJA,Roma Pizza & Italian Eatery,PA,40.2295269733,-75.1310898382,2.5,25,5
yM8LlTInbQH4FwWC97lz6w,McDonald's,MO,38.6124951839,-90.2219420671,1.5,100,5
CtMEJxpVMlNzFpB4PtFjfA,Aussie Grill,FL,28.192191035,-82.396367,4.0,75,1
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,PA,40.012141,-75.1150148,1.5,15,0
vPcfJ3rm3NpdqVDod2WxLA,China Pearl,PA,40.2177843,-74.9265858,1.5,27,3
pmuuoDqNZp7518AUd-YmPA,Bagelicious - King Of Prussia,PA,40.1124813,-75.3799748,3.5,60,2
tSFXJ0GFl5iUdy021YgWLw,The Mad Griddle ,IN,39.781126,-86.1241235,5.0,7,5
ZU6NodDOWaabGkeNpOWdXw,530 Pub & Grill,FL,27.9657471097,-82.7989008,4.5,6,5
Dtuf4vD0znzwJW9vk3iTNw,Tomo Japanese Steakhouse and Sushi Bar,IN,39.8887246,-86.1212129,4.0,246,1
Ucl9Vo5lwrUmYbV8Dv8X5g,O'Briens Irish Pub,FL,28.09236,-82.500588,4.0,108,3
6BF3eaIzHtoNHSxKTFnTyg,Mister B's Cigar Box,IN,39.7627741475,-86.3793863588,3.5,13,0
Y6heWJJ9AmEL58fZwgi9YQ,Rosati's Pizza,AZ,32.3387235226,-111.0303098651,4.0,58,4
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,PA,39.9385518,-75.1496356,4.5,183,0
uDQgmudYDKiB6n4vwbEeDg,Chrysalis,TN,35.9565328581,-86.8027199385,4.5,112,0
VVvUBlc_WIEb8obKGq39dA,Four Green Fields,FL,27.9803985924,-82.5377866183,4.5,39,3
py5aKmlTB2NarfsfcOpHOQ,Cafe Con Leche,FL,27.9767745,-82.5374233,2.5,55,3
wZhGuW7vQpfhxeEvLHkTrA,Express Cafe,ID,43.6196488,-116.3871392,4.5,119,1
YR0nwxBOKk6DiLHNItfsBQ,Boston Pizza,AB,53.625071,-113.6166452,3.5,14,2
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,PA,39.9768798,-75.1161695,4.5,12,0
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,PA,39.9563959,-75.2253784,4.5,66,0
1dSKEitDDgIkaApe6UNMSA,The Pepper Pott,TN,36.1530043,-86.8433279,5.0,18,1
rZw9O5lJ36m_mXeRKE4G9A,La Sponda,PA,40.0062075104,-75.7044510304,4.5,29,4
Pr_Mlt9FqdcW7WCFGJmozA,The Cider Factory,NV,39.305224,-119.652596,4.5,104,4
e8pMCk4bE0U4qk7z59Lxkg,Federal Donuts,PA,39.963042,-75.1741858944,4.5,11,0
zVlhs7BVaouutt-rles-YA,Williams Sub Shop,FL,27.806517,-82.749065,4.5,99,0
1E9o1SNo7UTf1XHTFPv1_Q,Franklin Juice Co,TN,35.9326054453,-86.860662065,4.5,66,0
f82dhKNiUXsDVPMLqKYiIQ,Sher-e-Punjab,AZ,32.2509598946,-110.9591583204,4.0,446,2
FF45pKN_lzqG8Bqk-_HQvw,Go! Gyro! Go!,MO,38.5844866,-90.266699,4.5,49,5
bDAlJYMIzwOewIThe2IZjQ,Domino's Pizza,IN,39.699929,-86.2416313,4.0,12,5
SRexiuEsx1d9-dZVUsssQA,Brandon Burgers,FL,27.9373704213,-82.3077001423,3.5,24,2
xJyp6RLqNRv3tSu6njPKxQ,World of Beer,PA,40.0236651,-75.6291878,3.0,208,4
1P_mGUY1PyPq7_ZabrzpBw,Carmine's Steakhouse,MO,38.6243584,-90.1886849,4.0,261,5
XwoXi0M66RU6Gouq-DSDHw,G Peppers Grill & Tavern,FL,28.0921362,-82.5785736,4.0,82,3
0DbIUh_Xuj6H5B_SF0RLCQ,Iguana's Mexican Restaurant,IN,39.8518617214,-86.3847577572,4.0,74,0
bSJczuohHVko33UT82hnfA,Blaze Pizza,LA,29.948395,-90.075281,4.0,302,0
rmHgqdVkLsGN2byesWRo0w,Brewster's Pub,NJ,39.9394973,-74.9743023,3.5,12,3
JfGfqCnk0-Tnf6PlahPUJQ,Burger Village,AB,53.436403,-113.604288,4.0,10,5
aNXw3PkXVt8ANwLyCfcmpg,McDonald's,PA,40.2637063378,-75.3179157563,1.5,17,5
GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,PA,39.9368911,-75.1672837,2.5,16,0
JwBTq6IOFH97b9Hr6RT7pw,Reinette Café & Patisserie,AB,53.5225968429,-113.61922974,3.0,5,5
dChRGpit9fM_kZK5pafNyA,The Love,PA,39.9506555,-75.1708991,4.0,618,0
uyc-S7lauYjzouYQ2TM76A,Papa John's Pizza,MO,38.7461593,-90.2798145,2.0,9,4
YE2TePip0TxcdquF5hGauQ,JoJo's Hot Dogs and BBQ,TN,36.3260267,-86.7040631,4.5,14,2
KdkMXzeoqpfNsZd-_axoTQ,emPIEnada,NV,39.5428346,-119.8569115,4.5,41,3
od6skmfXz9twktEAuJHEmw,Ryan Christopher,PA,40.0099504,-75.2591858,4.0,120,2
j9Kaj_6tSeXmVMYCgZithg,Noble Crust,FL,28.188219,-82.347274,4.5,496,1
EIlFs8kybcG-l60GJjNUIA,Domino's Pizza,FL,28.0420037,-82.6746125,2.5,20,5
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,PA,40.0520643,-75.1273939,4.5,351,0
Wt1W6qwCvna1KzIuJRJbwA,Tokyo Mandarin,NJ,39.7119376,-75.1109667,4.0,88,1
ifjluUv4VASwmFqEp8cWlQ,Marty's Pizza,CA,34.4362361,-119.7261474,4.0,64,4
bPPy7yNFfb-6N_bHkn1qAw,Taste of the Caribbean,IN,39.7733919,-86.0860599,3.0,17,5
516L9-ZWyqVgzqjP5uW7Jg,The Corner Cafe and Deli,FL,27.9444574,-82.4578244,4.0,6,3
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,PA,39.9418766,-75.1451988,4.0,604,0
iEC0VzHM2hQ13wM7c0QwgQ,Metro Diner,PA,40.180187,-74.87527,3.5,56,3
OlD8UoHqrKnLoZUFxuas_w,The Hip Hop Sandwich Shop,FL,28.4934721999,-82.546930168,2.5,5,4
D7z_V6E8cxXghSRcHAmUPg,La Bella China Restaurant,AZ,32.149473,-110.9781864,4.0,92,0
gb7JjRJtzWDsIWpJihZhBQ,McDonald's,NJ,39.6773020944,-75.4953995347,2.0,20,4
JPm93BlP-UHYPqFgK66JUw,Local Links,NJ,39.8826936,-75.0583844,4.5,70,3
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,CA,34.4305419,-119.882367,4.0,189,0
hsyIDX4x4ndYEvPoJF6_1g,Merendero La Catrachitas,MO,38.5787245,-90.2822168,4.5,22,5
rR30b1XWbxZFFgLyGbfNAw,BODHI : Craft Bar + Thai Bistro,IN,39.7802203,-86.1418027,4.5,132,5
4QFqi8w3rlZTcc5LXKyPJw,Chris' Pizza Village Pleasant View,TN,36.387932573,-87.0147362534,4.0,31,4
GpFRwCHN0RI8yFbcfXjfUg,V Sandwiches,AB,53.5417173,-113.4919398,3.5,9,0
QZLOM3T6xl7y1Q6zqoqHWg,Freddy's Frozen Custard & Steakburgers,PA,39.879183,-75.396768,3.5,26,2
9qxMhGWjGsuPUoQB3Y74Wg,McDonald's,MO,38.6369079537,-90.1954829934,1.5,62,5
pJB63RaQpkTIKBhfTsLQQg,Biryani Hut,IN,39.9970877,-86.0023117,4.0,83,1
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,PA,40.08178,-75.0267907,4.0,80,3
CPgWuWGZ4v2sZr5_-1kluw,Checkers,PA,39.9719414,-75.159771,2.0,21,0
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,PA,39.960811,-75.1573883,4.0,31,0
dIpTuL2T1L98GQGU17IeSw,The Bricks,FL,27.9600238,-82.4444005,4.0,548,3
XRkzSBTroG7kIdI7Z8ic6g,Piccadilly,LA,29.994939,-90.18365,3.0,51,2
1tLrjXG-I9hkOoZxlbwDqw,Olde Black Horse,PA,40.1083808,-75.318943,4.0,9,2
SlLfWzeYOrVBxCd-0QILZQ,The Boiling House,NJ,39.8996609,-74.9532997,4.0,238,5
adATTqggIQX5xxLDISkFTw,Just Churros,AZ,32.2712313189,-110.9920754497,5.0,25,2
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,CA,34.4129345,-119.8555307,3.0,184,0
ZpmSEd9N042IJanBiKlKiQ,Smoke & Thyme,ID,43.6111922,-116.2062753,4.0,19,0
SwWfW3vBn5QkDE7T3urGAg,Persis Biryani Indian Grill,TN,36.162142,-86.516006,4.5,246,5
W4rgF_1eKzFZiGUOsgbGMA,Amber Indian Restaurant,IN,39.9710819,-86.1601728,4.0,243,1
yN6jZyG1G1FG_HCZQlJZ1g,City Barbeque,IN,39.979376,-86.001692,4.0,188,1
-lVTNjVoTMOkD-eT--u0oA,El Rancho Nuevo,MO,38.7687445,-90.5219795,3.5,66,3
TCxvQgfBD6_JjOM3N1VPRA,High Ridge Family Diner,MO,38.4863979071,-90.5041513042,4.5,8,2
lPPYZr1_jx0XeW-xR9WJtw,DOSC,AB,53.5428720873,-113.4995122836,4.0,87,0
0sr1EyOc6Td1C-962QW88w,La Cucina Italian Eatery,PA,40.088398,-75.2926963,4.0,44,2
